paperID,enteredby,study_biome,study_continent,study_location,exp_obs,n_years,study_level,n_species,taxongroup_studied,species_group,species_order,phenophase,track_what,track_yesno,track_yesno_how,track_min,track_max,track_avg,track_notes,track_minmax_unit,trait,trait_type,link_trackingandtrait_yesno,link_trackingandtrait_posneg,link_trackingandtrait_posneg_explain,link_trackingandtrait_rsq,link_trackingandtrait_number,link_trackingandtrait_numberunit,link_trackingandtrait_how,tablesfigures_forlinkingtraittrack,notes
Zettlemoyer2019,ks,grasslands and old fields,North America,"Kellogg Biological Station, Western mIchigan ",exp,1,across_species,42,grasses and forbs,,Poales,days to first flower,temperature,yes,p²0.05,-11.42,0,,,days to first flower,nativeness,,yes,positive,Non-native species track while native species donÕt,,,,,,
Zettlemoyer2019,ks,grasslands and old fields,North America,"Kellogg Biological Station, Western mIchigan ",exp,1,across_species,42,grasses and forbs,,Poales,days to last flower,,yes,p²0.05,-14.12,0,,,days to last flower,nativeness,,yes,positive,Non-native species track while native species donÕt,,,,,,
Zettlemoyer2019,ks,grasslands and old fields,North America,"Kellogg Biological Station, Western mIchigan ",exp,1,across_species,42,grasses and forbs,,Poales,flowering period,,no,p²0.05,,,,no significant tracking occored for flowering period,,nativeness,,no,,,,,,,,
Zettlemoyer2019,ks,grasslands and old fields,North America,"Kellogg Biological Station, Western mIchigan ",exp,1,across_species,42,grasses and forbs,,Poales,days to first fruit,,yes,p²0.05,-10.91,0,,,days to first fruit,nativeness,,yes,positive,if the species is non-native it will track more than if it were native,,,,,,
Park2018,ks,multiple,North America,Eastern United States,obs,120,across_species,30,angiosperms,,,fruting,temperature,yes,posterior probability > 0.95,-3.64,-1.48,-2.56,,days/¡C,early/late,,yes,positive,earlier fruting species track more,,0.023,days/¡C,posterior probability > 0.99,Fig.2,And these responses were credibly different from zero (posterior probability . 0.95) for 21 out of 30 species for flowering and 15 out of 30 species for fruiting 
Park2018,ks,multiple,North America,Eastern United States,obs,120,across_species,30,angiosperms,,,flowering,temperature,yes,posterior probability > 0.96,-3.64,-1.48,-2.56,,days/¡C,early/late,,yes,positive,earlier fruting species track more,,0.018,days/¡C,posterior probability > 0.99,Fig.2,And these responses were credibly different from zero (posterior probability . 0.95) for 21 out of 30 species for flowering and 15 out of 30 species for fruiting 
Khan2018 ,ks,seminatural tempurate grassland ,europe,Ecological Botanical Garden of the University of Bayreuth ,exp,2,across_species,45,"grasses, forbs, and legumes",,,flowering onset,winter temperature,yes,p < 0.05 ,,,3.1,,days,height,,yes,positive,Taller species have a greater shift in onset of flowering,0.2,2.859684033,days,,Fig. 4,Calculated slope using Image J
Khan2018 ,ks,seminatural tempurate grassland ,europe,Ecological Botanical Garden of the University of Bayreuth ,exp,1,across_species,45,"grasses, forbs, and legumes",,,flowering onset,winter temperature,yes,p < 0.0001 ,-3.8,0,,,days,early/late flowering,,yes,positive,Earlier flowering species tracking winter warming while late flowering species do not,,,,,,Data from 2010 (year 1 of exp)
Khan2018 ,ks,seminatural tempurate grassland ,europe,Ecological Botanical Garden of the University of Bayreuth ,exp,1,across_species,45,"grasses, forbs, and legumes",,,flowering onset,winter temperature,yes,p < 0.0001 ,-6.1,0,,,days,early/late flowering,,yes,positive,Earlier flowering species tracking winter warming while late flowering species do not,,,,,,Data from 2011 (year 2 of exp)
Khan2018 ,ks,seminatural tempurate grassland ,europe,Ecological Botanical Garden of the University of Bayreuth ,exp,1,across_species,45,"grasses, forbs, and legumes",,,flowering onset,summer temperature,yes,"p < 0.0012, p < 0.0004 (min,max)",-3.5,-2.8,,,days,early/late flowering,,yes,positive,Earlier flowering species track winter warming more than late flowering species,,,,,,Data from 2010 (year 1 of exp) - no summer warming data from 2011 but they say the same relationship was not true 
Zhang2018,ks,subtropical monsoon evergreen broad-leaved forest ,Asia,Southeast coast of China ,obs,5,across_species,12,,,,peak flowering,temperature,no,,,,,,,wind/insect polination,poination syndrome,no,,,,,,,,
Zhang2018,ks,subtropical monsoon evergreen broad-leaved forest ,Asia,Southeast coast of China ,obs,5,across_species,12,,,,peak flowering,monthly rainfall,no,,,,,,,wind/insect polination,poination syndrome,no,,,,,,,,
Zhang2018,ks,subtropical monsoon evergreen broad-leaved forest ,Asia,Southeast coast of China ,obs,5,across_species,12,,,,peak flowering,temperature,no,,,,,,,early/late flowering,,no,,,,,,,,
Zhang2018,ks,subtropical monsoon evergreen broad-leaved forest ,Asia,Southeast coast of China ,obs,5,across_species,12,,,,peak flowering,monthly rainfall,no,,,,,,,early/late flowering,,yes,,Late flowering species track rainfall better,,,,Discussion,,"Linking trracking and traits wat sketchy, no tracking data explicitly givin"
Brooks2016,ks,multiple,Europe,Brittain ,obs,158,across_species,51,Lepidoptera,,,10th percentile collection date,mean spring temperature,yes,,-9,2,,numbers written in results,days/¡C,early/late migrating,,yes,positive,,,0.579824031,days/¡C,,Fig.5,Study was over 158 years but most species only had data over 90 years
Brooks2016,ks,multiple,Europe,Brittain ,obs,158,across_species,51,Lepidoptera,,,10th percentile collection date,mean summer temperature,yes,,-6.906,3.842,,got from fig4. with imageJ,days/¡C,early/late migrating,,yes,negative,,,-0.390732918,days/¡C,,Fig.5,
Brooks2016,ks,multiple,Europe,Brittain ,obs,158,across_species,41,Lepidoptera,,,10th percentile collection date,temperature,yes,,-0.4,0.4,,not tracking - total phenological shift,days/year,Number core host plants,generalist/specialist,yes,positive,Species with more host plants track better,,0.57,importance score,"importance>50%, discussion",table 4,Explicitly mentioned in the discussin that this trait was linked to sensitivity
Brooks2016,ks,multiple,Europe,Brittain ,obs,158,across_species,41,Lepidoptera,,,10th percentile collection date,temperature,yes,,-0.4,0.4,,not tracking - total phenological shift,days/year,Habitat,,no,,,,0.47,importance score,importance>50%,table 4,
Brooks2016,ks,multiple,Europe,Brittain ,obs,158,across_species,41,Lepidoptera,,,10th percentile collection date,temperature,yes,,-0.4,0.4,,not tracking - total phenological shift,days/year,% 10 km grid cells occupied within species range,,no,,,,0.4,importance score,importance>50%,table 4,
Brooks2016,ks,multiple,Europe,Brittain ,obs,158,across_species,41,Lepidoptera,,,10th percentile collection date,temperature,yes,,-0.4,0.4,,not tracking - total phenological shift,days/year,Mobility score,,no,,,,0.36,importance score,importance>50%,table 4,
Brooks2016,ks,multiple,Europe,Brittain ,obs,158,across_species,41,Lepidoptera,,,10th percentile collection date,temperature,yes,,-0.4,0.4,,not tracking - total phenological shift,days/year,Number all host plants,,no,,,,0.35,importance score,importance>50%,table 4,
Brooks2016,ks,multiple,Europe,Brittain ,obs,158,across_species,41,Lepidoptera,,,10th percentile collection date,temperature,yes,,-0.4,0.4,,not tracking - total phenological shift,days/year,Mean of min and max forewing span,,no,,,,0.28,importance score,importance>50%,table 4,
Brooks2016,ks,multiple,Europe,Brittain ,obs,158,across_species,41,Lepidoptera,,,10th percentile collection date,temperature,yes,,-0.4,0.4,,not tracking - total phenological shift,days/year,Host breadth,,no,,,,0.2,importance score,importance>50%,table 4,
